game_number,duration_seconds
1,29.85
2,31.53
3,19.57
4,43.86
5,34.42
6,25.77
7,19.45
8,56.67
9,43.58
10,18.48
11,31.19
12,25.08
13,30.98
14,36.24
15,57.32
16,35.99
17,48.47
18,12.16
19,28.65
20,39.53
21,78.4
22,38.55
23,28.04
24,28.6
25,27.57
26,29.02
27,18.61
28,32.02
29,38.63
30,45.72
31,32.59
32,55.97
33,17.47
34,33.15
35,32.96
36,55.01
37,33.1
38,44.97
39,54.55
40,28.84
41,43.92
42,42.4
43,17.79
44,30.23
45,43.53
46,35.17
47,27.99
48,45.35
49,33.44
50,54.56
51,28.02
52,17.44
53,17.34
54,32.24
55,39.5
56,26.31
57,30.68
58,32.52
59,35.25
60,31.7
61,33.43
62,45.56
63,23.4
64,49.84
65,20.03
66,38.34
67,72.07
68,27.42
69,37.22
70,48.25
71,29.8
72,42.4
73,65.8
74,59.6
75,36.33
76,62.48
77,43.13
78,32.57
79,55.02
80,17.47
81,49.47
82,36.07
83,32.76
84,49.14
85,80.82
86,94.94
87,75.37
88,41.24
89,42.17
90,57.17
91,60.85
92,59.18
93,69.57
94,64.15
95,44.01
96,49.18
97,92.33
98,102.06
99,87.6
100,77.27
101,17.95
102,84.86
