game_number,player_id,total_distance
1,1,0.0
1,2,457.38
2,1,51.12
2,2,148.86
3,1,367.56
3,2,128.52
4,1,164.16
4,2,498.62
5,1,399.8
5,2,298.8
6,1,164.88
6,2,337.68
7,1,70.56
7,2,0.0
8,1,853.74
8,2,994.14
9,1,471.6
9,2,500.94
10,1,250.02
10,2,0.0
11,1,262.44
11,2,365.22
12,1,202.68
12,2,151.02
13,1,585.2
13,2,35.82
14,1,244.08
14,2,354.06
15,1,219.42
15,2,332.82
16,1,383.94
16,2,579.8
17,1,1207.8
17,2,124.38
18,1,280.62
18,2,109.98
19,1,227.34
19,2,92.88
20,1,679.5
20,2,373.7
21,1,833.58
21,2,232.38
22,1,0.0
22,2,0.0
23,1,529.38
23,2,384.66
24,1,0.0
24,2,260.1
25,1,400.7
25,2,309.24
26,1,91.98
26,2,445.86
27,1,85.32
27,2,178.56
28,1,84.24
28,2,56.88
29,1,153.0
29,2,88.74
30,1,384.66
30,2,519.32
31,1,0.0
31,2,560.88
32,1,629.46
32,2,169.74
33,1,249.48
33,2,411.48
34,1,232.38
34,2,207.72
35,1,355.86
35,2,290.7
36,1,613.44
36,2,543.78
37,1,369.9
37,2,200.34
38,1,443.16
38,2,149.4
39,1,635.22
39,2,455.78
40,1,311.76
40,2,252.18
41,1,419.94
41,2,367.02
42,1,647.82
42,2,260.1
43,1,177.48
43,2,154.8
44,1,488.16
44,2,136.8
45,1,276.3
45,2,462.78
46,1,712.26
46,2,0.0
47,1,121.14
47,2,133.74
48,1,745.74
48,2,1056.98
49,1,278.1
49,2,55.62
50,1,500.42
50,2,525.6
51,1,156.6
51,2,334.44
52,1,111.24
52,2,0.0
53,1,0.0
53,2,0.0
54,1,95.4
54,2,150.84
55,1,182.52
55,2,486.9
56,1,208.62
56,2,197.28
57,1,247.32
57,2,164.88
58,1,0.0
58,2,5.76
59,1,58.86
59,2,793.8
60,1,71.28
60,2,80.64
61,1,208.98
61,2,0.0
62,1,333.0
62,2,257.04
63,1,243.0
63,2,0.0
64,1,190.98
64,2,541.26
65,1,400.86
65,2,385.74
66,1,136.08
66,2,826.22
67,1,615.08
67,2,0.0
68,1,293.94
68,2,0.0
69,1,109.98
69,2,465.48
70,1,560.34
70,2,597.26
71,1,441.42
71,2,232.74
72,1,185.4
72,2,508.5
73,1,158.04
73,2,573.12
74,1,64.8
74,2,178.56
75,1,496.8
75,2,222.66
76,1,684.0
76,2,306.9
77,1,638.12
77,2,253.62
78,1,654.42
78,2,416.34
79,1,387.72
79,2,45.36
80,1,262.98
80,2,208.44
81,1,729.54
81,2,367.92
82,1,271.44
82,2,282.6
83,1,504.2
83,2,433.26
84,1,208.26
84,2,142.74
85,1,683.28
85,2,407.16
86,1,692.46
86,2,726.66
87,1,1289.66
87,2,609.3
88,1,862.92
88,2,282.96
89,1,748.58
89,2,133.02
90,1,704.52
90,2,185.58
91,1,612.54
91,2,340.38
92,1,109.8
92,2,204.3
93,1,377.28
93,2,1012.32
94,1,342.72
94,2,655.74
95,1,350.28
95,2,645.48
96,1,234.9
96,2,418.68
97,1,1334.16
97,2,1125.18
98,1,384.3
98,2,1232.1
99,1,574.2
99,2,1399.5
100,1,251.1
100,2,1058.6
101,1,308.52
101,2,286.92
102,1,385.2
102,2,486.2
