game_number,player_id,avg_time_per_shot
1,1,1.78
1,2,3.2
2,1,1.92
2,2,2.41
3,1,2.99
3,2,2.15
4,1,3.59
4,2,2.84
5,1,2.43
5,2,2.58
6,1,1.6
6,2,2.53
7,1,1.5
7,2,2.57
8,1,2.22
8,2,4.04
9,1,2.13
9,2,2.57
10,1,1.4
10,2,2.41
11,1,1.37
11,2,3.54
12,1,1.76
12,2,2.21
13,1,3.21
13,2,1.95
14,1,1.88
14,2,2.53
15,1,3.34
15,2,1.7
16,1,1.89
16,2,2.57
17,1,2.95
17,2,1.92
18,1,2.02
18,2,2.43
19,1,1.59
19,2,2.04
20,1,2.54
20,2,3.3
21,1,2.74
21,2,4.29
22,1,2.1
22,2,2.84
23,1,1.4
23,2,2.43
24,1,2.64
24,2,2.33
25,1,2.52
25,2,2.31
26,1,2.34
26,2,2.27
27,1,1.86
27,2,3.33
28,1,1.98
28,2,2.09
29,1,1.79
29,2,1.9
30,1,2.7
30,2,2.84
31,1,1.22
31,2,3.04
32,1,2.14
32,2,2.44
33,1,2.26
33,2,1.8
34,1,2.52
34,2,2.76
35,1,2.05
35,2,2.37
36,1,2.08
36,2,3.11
37,1,2.37
37,2,3.53
38,1,2.51
38,2,2.58
39,1,2.58
39,2,3.76
40,1,1.99
40,2,2.07
41,1,2.16
41,2,1.87
42,1,2.71
42,2,2.7
43,1,2.5
43,2,2.31
44,1,2.16
44,2,2.32
45,1,2.21
45,2,2.77
46,1,3.29
46,2,1.73
47,1,2.54
47,2,2.26
48,1,2.89
48,2,3.39
49,1,2.35
49,2,3.59
50,1,3.88
50,2,2.73
51,1,2.21
51,2,2.68
52,1,1.63
52,2,2.37
53,1,1.58
53,2,1.96
54,1,2.16
54,2,2.29
55,1,2.85
55,2,3.05
56,1,1.84
56,2,1.45
57,1,2.54
57,2,1.74
58,1,2.09
58,2,2.65
59,1,1.68
59,2,2.54
60,1,2.31
60,2,2.77
61,1,3.11
61,2,2.7
62,1,2.74
62,2,2.19
63,1,1.92
63,2,2.05
64,1,2.27
64,2,2.4
65,1,2.44
65,2,3.0
66,1,1.98
66,2,3.21
67,1,3.03
67,2,2.28
68,1,2.31
68,2,1.99
69,1,1.86
69,2,2.55
70,1,2.08
70,2,2.51
71,1,2.45
71,2,2.36
72,1,1.73
72,2,2.91
73,1,1.52
73,2,2.97
74,1,2.03
74,2,3.26
75,1,2.45
75,2,2.5
76,1,2.59
76,2,2.66
77,1,2.23
77,2,2.11
78,1,2.28
78,2,1.88
79,1,2.04
79,2,2.16
80,1,2.18
80,2,3.2
81,1,3.05
81,2,2.25
82,1,2.64
82,2,3.21
83,1,2.53
83,2,2.03
84,1,2.18
84,2,2.37
85,1,1.98
85,2,3.12
86,1,1.54
86,2,1.77
87,1,2.25
87,2,2.05
88,1,1.93
88,2,1.92
89,1,2.54
89,2,2.14
90,1,1.86
90,2,2.08
91,1,2.78
91,2,1.99
92,1,2.58
92,2,2.37
93,1,2.49
93,2,2.36
94,1,2.71
94,2,2.52
95,1,1.53
95,2,2.23
96,1,1.94
96,2,2.22
97,1,2.32
97,2,2.9
98,1,2.63
98,2,2.95
99,1,2.06
99,2,2.77
100,1,1.84
100,2,2.91
101,1,1.83
101,2,3.76
102,1,2.25
102,2,2.54
103,1,2.52
103,2,2.01
104,1,2.33
104,2,1.88
105,1,2.26
105,2,2.15
106,1,4.46
106,2,3.92
107,1,2.2
107,2,1.53
108,1,1.87
108,2,3.73
109,1,1.39
109,2,2.23
110,1,1.62
110,2,3.12
111,1,1.7
111,2,2.69
112,1,2.12
112,2,2.81
113,1,1.8
113,2,1.83
114,1,3.62
114,2,2.09
115,1,1.59
115,2,1.65
116,1,2.42
116,2,2.09
117,1,2.23
117,2,3.45
118,1,2.26
118,2,3.64
119,1,18.8
119,2,14.78
120,1,1.87
120,2,3.73
121,1,3.41
121,2,3.96
122,1,1.59
122,2,2.42
123,1,2.02
123,2,3.2
